"sp"	"x"	"y"	"Partition"	"PresAbse"
"Bradypus_variegatus"	-66.839152	10.494155	1	1
"Bradypus_variegatus"	-83.664421	8.642761	1	1
"Bradypus_variegatus"	-39.200282	-17.423446	1	1
"Bradypus_variegatus"	-75.23813	8.716516	1	1
"Bradypus_variegatus"	-82.713527	9.639746	1	1
"Bradypus_variegatus"	-54.661153	-2.454175	1	1
"Bradypus_variegatus"	-77.063826	-0.426305	1	1
"Bradypus_variegatus"	-54.60534	-2.503619	1	1
"Bradypus_variegatus"	-75.197235	9.867846	1	1
"Bradypus_variegatus"	-83.78566	10.184399	1	1
"Bradypus_variegatus"	-66.897434	10.535738	1	1
"Bradypus_variegatus"	-83.994139	9.334956	1	1
"Bradypus_variegatus"	-84.599655	10.47123	1	1
"Bradypus_variegatus"	-79.738009	0.461174	1	1
"Bradypus_variegatus"	-83.958943	10.150512	1	1
"Bradypus_variegatus"	-84.950319	10.608652	1	1
"Bradypus_variegatus"	-79.703074	9.119621	1	1
"Bradypus_variegatus"	-79.63962	0.578047	1	1
"Bradypus_variegatus"	-44.720428	-23.220022	1	1
"Bradypus_variegatus"	-79.744906	8.890086	1	1
"Bradypus_variegatus"	-73.58325	8.466687	1	1
"Bradypus_variegatus"	-84.70037	10.50425	1	1
"Bradypus_variegatus"	-78.539342	8.822741	1	1
"Bradypus_variegatus"	-83.813643	9.222805	1	1
"Bradypus_variegatus"	-73.089345	7.067848	1	1
"Bradypus_variegatus"	-66.050777	-11.031658	1	1
"Bradypus_variegatus"	-79.543405	9.554406	1	1
"Bradypus_variegatus"	-77.373965	6.298074	1	1
"Bradypus_variegatus"	-82.325084	9.40532	1	1
"Bradypus_variegatus"	-79.267821	0.11874	1	1
"Bradypus_variegatus"	-75.807059	4.74411	1	1
"Bradypus_variegatus"	-83.453715	9.981545	1	1
"Bradypus_variegatus"	-63.839038	-17.343277	1	1
"Bradypus_variegatus"	-73.33031	7.150594	1	1
"Bradypus_variegatus"	-34.842421	-7.132939	1	1
"Bradypus_variegatus"	-74.76917	5.671	1	1
"Bradypus_variegatus"	-75.540111	7.922564	1	1
"Bradypus_variegatus"	-79.590772	8.90252	1	1
"Bradypus_variegatus"	-73.713231	6.822317	1	1
"Bradypus_variegatus"	-83.62304	8.828372	1	1
"Bradypus_variegatus"	-79.551018	9.002765	1	1
"Bradypus_variegatus"	-42.773567	-22.45336	1	1
"Bradypus_variegatus"	-82.211227	8.790019	1	1
"Bradypus_variegatus"	-83.753428	9.748917	1	1
"Bradypus_variegatus"	-82.236598	8.865922	1	1
"Bradypus_variegatus"	-76.91137	0.111627	1	1
"Bradypus_variegatus"	-76.45913	-0.472253	1	1
"Bradypus_variegatus"	-77.242936	-0.563401	1	1
"Bradypus_variegatus"	-72.543301	-7.728313	1	1
"Bradypus_variegatus"	-75.158551	9.91659	1	1
"Bradypus_variegatus"	-60.234984	-3.082886	1	1
"Bradypus_variegatus"	-66.047766	-10.967692	1	1
"Bradypus_variegatus"	-77.951021	8.40749	1	1
"Bradypus_variegatus"	-66.938081	10.355471	1	1
"Bradypus_variegatus"	-34.986671	-8.021379	1	1
"Bradypus_variegatus"	-67.05128	10.326909	1	1
"Bradypus_variegatus"	-46.617791	-23.648298	1	1
"Bradypus_variegatus"	-85.046626	10.992381	1	1
"Bradypus_variegatus"	-77.669361	-1.033012	1	1
"Bradypus_variegatus"	-83.778256	9.280914	1	1
"Bradypus_variegatus"	-75.618895	8.419542	1	1
"Bradypus_variegatus"	-43.199864	-22.947558	1	1
"Bradypus_variegatus"	-75.679422	9.404172	1	1
"Bradypus_variegatus"	-40.31483	-20.330934	1	1
"Bradypus_variegatus"	-85.322363	10.881647	1	1
"Bradypus_variegatus"	-84.348614	10.44629	1	1
"Bradypus_variegatus"	-73.129639	-3.625062	1	1
"Bradypus_variegatus"	-78.892044	0.025173	1	1
"Bradypus_variegatus"	-79.835091	9.344544	1	1
"Bradypus_variegatus"	-75.42972	10.354817	1	1
"Bradypus_variegatus"	-76.922186	0.124508	1	1
"Bradypus_variegatus"	-84.728971	10.484371	1	1
"Bradypus_variegatus"	-84.78693	10.409754	1	1
"Bradypus_variegatus"	-64.903915	-14.834561	1	1
"Bradypus_variegatus"	-35.742144	-9.614132	1	1
"Bradypus_variegatus"	-82.571114	9.539036	1	1
"Bradypus_variegatus"	-82.158683	9.273689	1	1
"Bradypus_variegatus"	-76.17119	9.10899	1	1
"Bradypus_variegatus"	-83.511779	10.502237	1	1
"Bradypus_variegatus"	-83.920622	10.182591	1	1
"Bradypus_variegatus"	-83.603089	8.6988	1	1
"Bradypus_variegatus"	-84.968529	10.712353	1	1
"Bradypus_variegatus"	-75.635362	8.30337	1	1
"Bradypus_variegatus"	-76.179379	-0.031617	1	1
"Bradypus_variegatus"	-83.655256	9.894646	1	1
"Bradypus_variegatus"	-79.176331	-0.253544	1	1
"Bradypus_variegatus"	-59.850202	-2.724677	1	1
"Bradypus_variegatus"	-79.141302	0.144925	1	1
"Bradypus_variegatus"	-71.391683	-12.789389	1	1
"Bradypus_variegatus"	-83.630822	8.84365	1	1
"Bradypus_variegatus"	-60.451617	-3.087518	1	1
"Bradypus_variegatus"	-77.659332	-1.00079	1	1
"Bradypus_variegatus"	-79.408493	9.215932	1	1
"Bradypus_variegatus"	-79.546808	8.984717	1	1
"Bradypus_variegatus"	-67.809819	-9.973852	1	1
"Bradypus_variegatus"	-35.764118	-9.609689	1	1
"Bradypus_variegatus"	-44.770865	-23.211431	1	1
"Bradypus_variegatus"	-64.961796	-14.788236	1	1
"Bradypus_variegatus"	-83.913405	10.173512	1	1
"Bradypus_variegatus"	-84.2059	10.301488	1	1
"Bradypus_variegatus"	-43.46687	-22.782587	1	1
"Bradypus_variegatus"	-86.834167	14.452016	1	1
"Bradypus_variegatus"	-82.819569	9.722904	1	1
"Bradypus_variegatus"	-82.382768	9.287786	1	1
"Bradypus_variegatus"	-77.395658	-1.232799	1	1
"Bradypus_variegatus"	-80.782127	8.537981	1	1
"Bradypus_variegatus"	-80.110776	8.614592	1	1
"Bradypus_variegatus"	-82.250258	9.272598	1	1
"Bradypus_variegatus"	-76.968687	-0.332299	1	1
"Bradypus_variegatus"	-43.272642	-22.479293	1	1
"Bradypus_variegatus"	-83.097703	8.436447	1	1
"Bradypus_variegatus"	-84.037893	10.473364	1	1
"Bradypus_variegatus"	-67.870938	-9.961025	1	1
"Bradypus_variegatus"	-34.87508	-7.914991	1	1
"Bradypus_variegatus"	-83.116508	9.9762	1	1
"Bradypus_variegatus"	-83.301003	8.38937	1	1
"Bradypus_variegatus"	-84.785199	10.891567	1	1
"Bradypus_variegatus"	-75.547963	10.422404	1	1
"Bradypus_variegatus"	-63.18716	-18.119742	1	1
"Bradypus_variegatus"	-79.908105	9.192116	1	1
"Bradypus_variegatus"	-79.168186	0.108095	1	1
"Bradypus_variegatus"	-84.10685	10.368847	1	1
"Bradypus_variegatus"	-84.839895	10.500657	1	1
"Bradypus_variegatus"	-69.175056	-12.593091	1	1
"Bradypus_variegatus"	-83.689505	8.693463	1	1
"Bradypus_variegatus"	-43.3055	-22.986724	1	1
"Bradypus_variegatus"	-84.592636	9.831946	1	1
"Bradypus_variegatus"	-72.917518	-3.257878	1	1
"Bradypus_variegatus"	-76.436883	-0.509705	1	1
"Bradypus_variegatus"	-80.070854	8.643978	1	1
"Bradypus_variegatus"	-82.313362	9.150797	1	1
"Bradypus_variegatus"	-73.405397	-4.390895	1	1
"Bradypus_variegatus"	-63.189628	-17.789505	1	1
"Bradypus_variegatus"	-39.169761	-16.3876	1	1
"Bradypus_variegatus"	-75.481328	8.631476	1	1
"Bradypus_variegatus"	-83.953178	10.334077	1	1
"Bradypus_variegatus"	-82.773331	9.658055	1	1
"Bradypus_variegatus"	-83.859243	9.252496	1	1
"Bradypus_variegatus"	-74.592238	-8.34364	1	1
"Bradypus_variegatus"	-83.026894	10.035266	1	1
"Bradypus_variegatus"	-86.055908	13.241951	1	1
"Bradypus_variegatus"	-84.470933	10.517313	1	1
"Bradypus_variegatus"	-83.033028	9.792723	1	1
"Bradypus_variegatus"	-73.910144	11.288955	1	1
"Bradypus_variegatus"	-75.325143	10.489651	1	1
"Bradypus_variegatus"	-83.308849	8.69203	1	1
"Bradypus_variegatus"	-77.010222	-0.394998	1	1
"Bradypus_variegatus"	-60.687345	-3.244328	1	1
"Bradypus_variegatus"	-83.504845	9.003522	1	1
"Bradypus_variegatus"	-82.864062	9.429254	1	1
"Bradypus_variegatus"	-82.801638	9.327177	1	1
"Bradypus_variegatus"	-77.871638	8.153447	1	1
"Bradypus_variegatus"	-78.212862	8.763631	1	1
"Bradypus_variegatus"	-77.516615	7.620419	1	1
"Bradypus_variegatus"	-63.319666	-17.978131	1	1
"Bradypus_variegatus"	-79.647814	8.95044	1	1
"Bradypus_variegatus"	-47.782908	-5.172984	1	1
"Bradypus_variegatus"	-73.84056	7.771867	1	1
"Bradypus_variegatus"	-34.867424	-7.919148	1	1
"Bradypus_variegatus"	-35.00421	-7.967126	1	1
"Bradypus_variegatus"	-77.309	-0.690885	1	1
"Bradypus_variegatus"	-76.149058	9.024172	1	1
"Bradypus_variegatus"	-50.060353	-6.061336	1	1
"Bradypus_variegatus"	-76.870886	-0.287885	1	1
"Bradypus_variegatus"	-75.033276	9.120725	1	1
"Bradypus_variegatus"	-79.725459	-3.461541	1	1
"Bradypus_variegatus"	-79.748244	-0.301144	1	1
"Bradypus_variegatus"	-43.404072	-21.80648	1	1
"Bradypus_variegatus"	-79.188	0.60981	1	1
"Bradypus_variegatus"	-79.413924	9.26179	1	1
"Bradypus_variegatus"	-60.266944	-3.224205	1	1
"Bradypus_variegatus"	-35.9116	-9.609222	1	1
"Bradypus_variegatus"	-49.913112	-5.912677	1	1
"Bradypus_variegatus"	-77.385555	0.010252	1	1
"Bradypus_variegatus"	-76.383508	-0.124434	1	1
"Bradypus_variegatus"	-66.811742	10.507327	1	1
"Bradypus_variegatus"	-68.7083333333333	81.5416666666667	1	0
"Bradypus_variegatus"	34.7083333333333	40.7916666666667	1	0
"Bradypus_variegatus"	28.2083333333333	30.4583333333333	1	0
"Bradypus_variegatus"	65.7916666666667	63.2916666666667	1	0
"Bradypus_variegatus"	95.7083333333333	47.125	1	0
"Bradypus_variegatus"	21.375	19.7916666666667	1	0
"Bradypus_variegatus"	29.875	-30.625	1	0
"Bradypus_variegatus"	124.875	-26.5416666666667	1	0
"Bradypus_variegatus"	29.9583333333333	57.5416666666667	1	0
