species	longitude	latitude
Bradypus variegatus	-66.839152	10.494155
Bradypus variegatus	-83.664421	8.642761
Bradypus variegatus	-39.200282	-17.423446
Bradypus variegatus	-75.23813	8.716516
Bradypus variegatus	-82.713527	9.639746
Bradypus variegatus	-66.839688	10.493257
Bradypus variegatus	-54.661153	-2.454175
Bradypus variegatus	-77.063826	-0.426305
Bradypus variegatus	-54.60534	-2.503619
Bradypus variegatus	-75.197235	9.867846
Bradypus variegatus	-83.78566	10.184399
Bradypus variegatus	-75.233038	8.716961
Bradypus variegatus	-66.897434	10.535738
Bradypus variegatus	-83.994139	9.334956
Bradypus variegatus	-54.951355	-2.513556
Bradypus variegatus	-46.532749	-23.396544
Bradypus variegatus	-39.20034	-17.423408
Bradypus variegatus	-54.659682	-2.45538
Bradypus variegatus	-54.661913	-2.453788
Bradypus variegatus	-54.603948	-2.505955
Bradypus variegatus	-76.739563	8.181069
Bradypus variegatus	-54.637103	-2.477608
Bradypus variegatus	-54.637326	-2.477466
Bradypus variegatus	-54.605054	-2.502874
Bradypus variegatus	-84.599655	10.47123
Bradypus variegatus	-79.738009	0.461174
Bradypus variegatus	-76.179383	9.379053
Bradypus variegatus	-83.958943	10.150512
Bradypus variegatus	-84.950319	10.608652
Bradypus variegatus	-79.703074	9.119621
Bradypus variegatus	-79.63962	0.578047
Bradypus variegatus	-66.840297	10.49315
Bradypus variegatus	-44.720428	-23.220022
Bradypus variegatus	-79.744906	8.890086
Bradypus variegatus	-73.58325	8.466687
Bradypus variegatus	-66.838367	10.490936
Bradypus variegatus	-79.696867	9.122929
Bradypus variegatus	-84.147673	9.435161
Bradypus variegatus	-84.70037	10.50425
Bradypus variegatus	-78.539342	8.822741
Bradypus variegatus	-83.813643	9.222805
Bradypus variegatus	-83.806897	9.224393
Bradypus variegatus	-73.089345	7.067848
Bradypus variegatus	-66.050777	-11.031658
Bradypus variegatus	-79.543405	9.554406
Bradypus variegatus	-77.373965	6.298074
Bradypus variegatus	-82.325084	9.40532
Bradypus variegatus	-79.267821	0.11874
Bradypus variegatus	-82.744569	9.653153
Bradypus variegatus	-75.807059	4.74411
Bradypus variegatus	-83.453715	9.981545
Bradypus variegatus	-79.649268	9.07737
Bradypus variegatus	-63.839038	-17.343277
Bradypus variegatus	-73.33031	7.150594
Bradypus variegatus	-34.842421	-7.132939
Bradypus variegatus	-78.843927	1.269477
Bradypus variegatus	-85.056236	10.719603
Bradypus variegatus	-74.76917	5.671
Bradypus variegatus	-74.76936	5.67388
Bradypus variegatus	-74.77203	5.67588
Bradypus variegatus	-75.540111	7.922564
Bradypus variegatus	-66.09115	-11.013649
Bradypus variegatus	-79.590772	8.90252
Bradypus variegatus	-73.713231	6.822317
Bradypus variegatus	-79.59118	8.900895
Bradypus variegatus	-83.62304	8.828372
Bradypus variegatus	-79.551018	9.002765
Bradypus variegatus	-42.773567	-22.45336
Bradypus variegatus	-82.211227	8.790019
Bradypus variegatus	-79.592828	8.899747
Bradypus variegatus	-42.770316	-22.453521
Bradypus variegatus	-42.770316	-22.453521
Bradypus variegatus	-83.753428	9.748917
Bradypus variegatus	-42.770316	-22.453521
Bradypus variegatus	-82.236598	8.865922
Bradypus variegatus	-78.682059	-4.049379
Bradypus variegatus	-76.91137	0.111627
Bradypus variegatus	-76.910995	0.112044
Bradypus variegatus	-76.45913	-0.472253
Bradypus variegatus	-77.242936	-0.563401
Bradypus variegatus	-79.649168	9.077609
Bradypus variegatus	-72.543301	-7.728313
Bradypus variegatus	-75.158551	9.91659
Bradypus variegatus	-60.234984	-3.082886
Bradypus variegatus	-81.217727	8.786015
Bradypus variegatus	-66.047766	-10.967692
Bradypus variegatus	-77.951021	8.40749
Bradypus variegatus	-79.70664	9.119363
Bradypus variegatus	-82.482783	9.455221
Bradypus variegatus	-44.218904	-2.529547
Bradypus variegatus	-44.218903	-2.529571
Bradypus variegatus	-79.696513	9.116464
Bradypus variegatus	-66.938081	10.355471
Bradypus variegatus	-84.811554	10.639125
Bradypus variegatus	-84.142258	9.386469
Bradypus variegatus	-85.041106	10.71362
Bradypus variegatus	-34.986671	-8.021379
Bradypus variegatus	-67.05128	10.326909
Bradypus variegatus	-84.599555	10.470938
Bradypus variegatus	-46.617791	-23.648298
Bradypus variegatus	-85.046626	10.992381
Bradypus variegatus	-77.669361	-1.033012
Bradypus variegatus	-83.778256	9.280914
Bradypus variegatus	-63.840305	-17.342688
Bradypus variegatus	-77.813603	-0.996297
Bradypus variegatus	-66.791408	10.438665
Bradypus variegatus	-84.136988	9.392308
Bradypus variegatus	-75.618895	8.419542
Bradypus variegatus	-84.144231	9.386041
Bradypus variegatus	-43.199864	-22.947558
Bradypus variegatus	-75.679422	9.404172
Bradypus variegatus	-79.635433	9.047888
Bradypus variegatus	-46.616398	-23.648
Bradypus variegatus	-46.617816	-23.648388
Bradypus variegatus	-40.31483	-20.330934
Bradypus variegatus	-85.322363	10.881647
Bradypus variegatus	-46.618135	-23.648117
Bradypus variegatus	-82.191649	8.795879
Bradypus variegatus	-54.66125	-2.465622
Bradypus variegatus	-84.687207	10.503629
Bradypus variegatus	-54.633558	-2.472573
Bradypus variegatus	-79.716758	9.127015
Bradypus variegatus	-54.627307	-2.47392
Bradypus variegatus	-79.695264	9.119344
Bradypus variegatus	-84.348614	10.44629
Bradypus variegatus	-73.129639	-3.625062
Bradypus variegatus	-78.892044	0.025173
Bradypus variegatus	-66.939219	10.35643
Bradypus variegatus	-79.835091	9.344544
Bradypus variegatus	-75.42972	10.354817
Bradypus variegatus	-76.922186	0.124508
Bradypus variegatus	-85.048011	10.731688
Bradypus variegatus	-84.725934	10.525346
Bradypus variegatus	-84.728971	10.484371
Bradypus variegatus	-84.699342	10.516198
Bradypus variegatus	-84.625798	10.489913
Bradypus variegatus	-84.78693	10.409754
Bradypus variegatus	-54.652461	-2.462393
Bradypus variegatus	-64.903915	-14.834561
Bradypus variegatus	-84.141554	9.38364
Bradypus variegatus	-77.705318	8.156947
Bradypus variegatus	-79.715569	9.123975
Bradypus variegatus	-77.369541	6.336731
Bradypus variegatus	-83.579346	8.531691
Bradypus variegatus	-35.742144	-9.614132
Bradypus variegatus	-84.144237	9.389048
Bradypus variegatus	-82.571114	9.539036
Bradypus variegatus	-46.625433	-23.640335
Bradypus variegatus	-82.158683	9.273689
Bradypus variegatus	-46.625449	-23.640347
Bradypus variegatus	-76.17119	9.10899
Bradypus variegatus	-82.451776	9.597916
Bradypus variegatus	-83.511779	10.502237
Bradypus variegatus	-83.920622	10.182591
Bradypus variegatus	-54.655821	-2.461452
Bradypus variegatus	-54.642917	-2.46861
Bradypus variegatus	-84.140008	9.390528
Bradypus variegatus	-79.64914	9.077638
Bradypus variegatus	-84.162086	9.421072
Bradypus variegatus	-79.64926	9.077723
Bradypus variegatus	-84.636222	10.480097
Bradypus variegatus	-83.508023	10.554325
Bradypus variegatus	-83.508023	10.554325
Bradypus variegatus	-83.603089	8.6988
Bradypus variegatus	-84.164764	9.400182
Bradypus variegatus	-84.968529	10.712353
Bradypus variegatus	-79.649168	9.077609
Bradypus variegatus	-75.635362	8.30337
Bradypus variegatus	-79.649168	9.077609
Bradypus variegatus	-79.649168	9.077609
Bradypus variegatus	-84.135797	9.394286
Bradypus variegatus	-76.179379	-0.031617
Bradypus variegatus	-76.195653	-0.003673
Bradypus variegatus	-66.775478	10.421883
Bradypus variegatus	-84.143722	9.385901
Bradypus variegatus	-84.142228	9.38422
Bradypus variegatus	-84.145862	9.390276
Bradypus variegatus	-66.974376	10.368517
Bradypus variegatus	-84.143898	9.386505
Bradypus variegatus	-83.655256	9.894646
Bradypus variegatus	-76.187466	-0.00854
Bradypus variegatus	-79.176331	-0.253544
Bradypus variegatus	-84.144051	9.382082
Bradypus variegatus	-85.0569	10.726212
Bradypus variegatus	-79.585844	9.005417
Bradypus variegatus	-59.850202	-2.724677
Bradypus variegatus	-74.3811	4.760126
Bradypus variegatus	-79.141302	0.144925
Bradypus variegatus	-71.391683	-12.789389
Bradypus variegatus	-34.991968	-7.974825
Bradypus variegatus	-79.585567	9.005253
Bradypus variegatus	-66.799933	10.439237
Bradypus variegatus	-83.657025	8.695822
Bradypus variegatus	-46.624999	-23.640601
Bradypus variegatus	-83.463984	10.432226
Bradypus variegatus	-83.630822	8.84365
Bradypus variegatus	-60.451617	-3.087518
Bradypus variegatus	-77.659332	-1.00079
Bradypus variegatus	-84.651367	10.470447
Bradypus variegatus	-79.408493000000007	9.215932
Bradypus variegatus	-79.546808	8.984717
Bradypus variegatus	-67.809819	-9.973852
Bradypus variegatus	-35.764118	-9.609689
Bradypus variegatus	-46.625299	-23.640601
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-83.810974	9.224145
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-44.770865	-23.211431
Bradypus variegatus	-64.961796	-14.788236
Bradypus variegatus	-83.913405	10.173512
Bradypus variegatus	-82.720624	9.643537
Bradypus variegatus	-84.2059	10.301488
Bradypus variegatus	-84.59988	10.471336
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-83.769464	9.294155
Bradypus variegatus	-83.653787	9.894538
Bradypus variegatus	-43.46687	-22.782587
Bradypus variegatus	-79.649152	9.077741
Bradypus variegatus	-86.834167	14.452016
Bradypus variegatus	-82.819569	9.722904
Bradypus variegatus	-83.520675	10.576654
Bradypus variegatus	-46.616208	-23.647996
Bradypus variegatus	-83.653663	9.894359
Bradypus variegatus	-82.747831	9.659084
Bradypus variegatus	-85.037113	10.723002
Bradypus variegatus	-82.382768	9.287786
Bradypus variegatus	-84.617836	10.383282
Bradypus variegatus	-77.395658	-1.232799
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-84.696373	10.52807
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-80.782127	8.537981
Bradypus variegatus	-80.110776	8.614592
Bradypus variegatus	-82.250258	9.272598
Bradypus variegatus	-76.968687	-0.332299
Bradypus variegatus	-84.142503	9.383532
Bradypus variegatus	-82.144922	9.254147
Bradypus variegatus	-43.272642	-22.479293
Bradypus variegatus	-46.616174	-23.647484
Bradypus variegatus	-83.810974	9.224141
Bradypus variegatus	-83.097703	8.436447
Bradypus variegatus	-84.037893	10.473364
Bradypus variegatus	-84.14425	9.384872
Bradypus variegatus	-82.145625	9.255026
Bradypus variegatus	-76.4591	-0.47423
Bradypus variegatus	-46.618965	-23.648301
Bradypus variegatus	-82.744813	9.651001
Bradypus variegatus	-67.870938	-9.961025
Bradypus variegatus	-84.169353	9.39665
Bradypus variegatus	-79.72623	9.132514
Bradypus variegatus	-84.689026	10.503984
Bradypus variegatus	-80.096082	8.632093
Bradypus variegatus	-84.616353	10.482208
Bradypus variegatus	-84.61646	10.481935
Bradypus variegatus	-83.570964	8.540835
Bradypus variegatus	-34.87508	-7.914991
Bradypus variegatus	-83.781587	10.203612
Bradypus variegatus	-83.116508	9.9762
Bradypus variegatus	-84.13673	9.383332
