name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,sex,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,lifeStage,occurrenceRemarks,informationWithheld,establishmentMeans,elevation,continent,organismQuantity,organismQuantityType,eventID,http://rs.tdwg.org/dwc/terms/organismQuantity,habitat,institutionID,county,locality,eventRemarks,language,type,vernacularName,http://rs.tdwg.org/dwc/terms/organismQuantityType,datasetID,samplingProtocol,identificationRemarks,projectId,programmeAcronym,elevationAccuracy,verbatimSRS,verbatimCoordinateSystem,individualCount,higherClassification,ownerInstitutionCode,bibliographicCitation,accessRights
"Bradypus variegatus Schinz, 1825",-66.839152,10.494155,cdround,gbif,3018021822,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:19.280+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,MALE,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-03T01:10:48,4,Miranda,2021,1,2,2021-01-02,2021-01-03T23:06:30.000+00:00,2021-12-08T05:02:19.280+00:00,https://www.inaturalist.org/observations/67489038,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,VE,Venezuela (Bolivarian Republic of),Manuel A. Pérez R.,67489038,manuelprez,2021/01/02 12:43 PM AST,iNaturalist research-grade observations,Observations,Parque del este,3018021822,https://www.inaturalist.org/observations/67489038,47067,67489038,Manuel A. Pérez R.,iNaturalist,16:43:00Z,Manuel A. Pérez R.,148842520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-83.664421,8.642761,cdround,gbif,3018096136,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:57:45.164+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-07T08:59:14,211,Puntarenas,2021,1,6,2021-01-06,2021-01-07T11:19:16.000+00:00,2021-12-08T05:57:45.164+00:00,https://www.inaturalist.org/observations/67686872,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,CR,Costa Rica,Rebeca Quirós,67686872,tamanduastation,2021-01-06 11:59:23 AM CST,iNaturalist research-grade observations,Observations,"Parque Nacional Corcovado, estación Sirena",3018096136,https://www.inaturalist.org/observations/67686872,47067,67686872,Rebeca Quirós,iNaturalist,11:59:23Z,Guillaume Delaitre,149477734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-39.200282,-17.423446,cdround,gbif,3031677953,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:49:38.700+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,FEMALE,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-16T18:36:31,NA,Bahia,2021,1,16,2021-01-16,2021-11-24T08:23:47.000+00:00,2021-12-08T05:49:38.700+00:00,https://www.inaturalist.org/observations/68157388,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,BR,Brazil,clarahanyu,68157388,clarahanyu,2021-01-16 8:46:26 AM GMT-03:00,iNaturalist research-grade observations,Observations,"Prado - BA, 45980-000, Brasil",3031677953,https://www.inaturalist.org/observations/68157388,47067,68157388,clarahanyu,iNaturalist,11:46:26Z,clarahanyu,150799562,Adult,Bicho preguiça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-75.23813,8.716516,cdround,gbif,3031683382,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:51:10.158+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-09T19:33:20,NA,Sucre,2021,1,9,2021-01-09,2021-01-10T17:03:49.000+00:00,2021-12-08T05:51:10.158+00:00,https://www.inaturalist.org/observations/67808817,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,CO,Colombia,RUBER ENRIQUE LEDESMA RUIZ,67808817,el_naturero,2021/01/09 7:36 AM -0500,iNaturalist research-grade observations,Observations,"Santa Ines, San Marcos, Sucre, Colombia",3031683382,https://www.inaturalist.org/observations/67808817,47067,67808817,RUBER ENRIQUE LEDESMA RUIZ,iNaturalist,12:36:00Z,RUBER ENRIQUE LEDESMA RUIZ,149820262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-82.713527,9.639746,cdround,gbif,3031716678,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:01.251+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-13T04:29:16,165,Limón,2021,1,11,2021-01-11,2021-01-13T08:59:24.000+00:00,2021-12-08T05:02:01.251+00:00,https://www.inaturalist.org/observations/67989481,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,CR,Costa Rica,uphousecostarica,67989481,uphousecostarica,Mon Jan 11 2021 18:54:18 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Talamanca, CR-LI, CR",3031716678,https://www.inaturalist.org/observations/67989481,47067,67989481,uphousecostarica,iNaturalist,18:54:18Z,uphousecostarica,150326334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-66.839688,10.493257,cdround,gbif,3031723892,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:16.722+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-15T19:21:16,NA,Miranda,2021,1,14,2021-01-14,2021-01-16T00:08:37.000+00:00,2021-12-08T05:02:16.722+00:00,https://www.inaturalist.org/observations/68114888,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,VE,Venezuela (Bolivarian Republic of),Fernando Nunes,68114888,frnnd_ccs,2021/01/14 9:05 AM -0400,iNaturalist research-grade observations,Observations,"Caracas, Distrito Capital, Venezuela",3031723892,https://www.inaturalist.org/observations/68114888,47067,68114888,Fernando Nunes,iNaturalist,13:05:00Z,Fernando Nunes,150669219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-54.661153,-2.454175,cdround,gbif,3031735285,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:08.661+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-19T20:14:26,NA,Pará,2021,1,18,2021-01-18,2021-01-20T20:40:40.000+00:00,2021-12-08T05:02:08.661+00:00,https://www.inaturalist.org/observations/68338529,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,BR,Brazil,Nelson Wisnik,68338529,nelson_wisnik,2021-01-18 1:50:14 PM GMT-03:00,iNaturalist research-grade observations,Observations,"Santarém - PA, Brasil",3031735285,https://www.inaturalist.org/observations/68338529,47067,68338529,Nelson Wisnik,iNaturalist,16:50:14Z,Nelson Wisnik,151274151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-77.063826,-0.426305,cdround,gbif,3031758733,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:59:12.291+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-25T15:11:31,1214,Orellana,2021,1,8,2021-01-08,2021-01-25T15:20:04.000+00:00,2021-12-08T05:59:12.291+00:00,https://www.inaturalist.org/observations/68599511,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,EC,Ecuador,Diego Naranjo,68599511,diego_naranjo,2021/01/08 10:31 AM -0500,iNaturalist research-grade observations,Observations,"Orellana, Ecuador",3031758733,https://www.inaturalist.org/observations/68599511,47067,68599511,Diego Naranjo,iNaturalist,15:31:00Z,Diego Naranjo,152055314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-54.60534,-2.503619,cdround,gbif,3031771334,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:43.106+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-19T20:48:34,633,Pará,2021,1,19,2021-01-19,2021-01-19T21:10:23.000+00:00,2021-12-08T05:01:43.106+00:00,https://www.inaturalist.org/observations/68339929,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,BR,Brazil,Nelson Wisnik,68339929,nelson_wisnik,2021-01-19 12:05:40 PM GMT-03:00,iNaturalist research-grade observations,Observations,"Santarém - PA, Brasil",3031771334,https://www.inaturalist.org/observations/68339929,47067,68339929,Nelson Wisnik,iNaturalist,15:05:40Z,Nelson Wisnik,151277663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-75.197235,9.867846,cdround,gbif,3031784263,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:58:29.108+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,NA,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2021-01-19T21:51:56,513,Bolívar,2021,1,17,2021-01-17,2021-01-24T23:25:29.000+00:00,2021-12-08T05:58:29.108+00:00,https://www.inaturalist.org/observations/68342383,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,CO,Colombia,José Gabriel Julio Guzmán,68342383,josegjulioguzman,2021-01-17 9:08:11 AM GMT-05:00,iNaturalist research-grade observations,Observations,"San Jacinto, Bolívar, Colombia",3031784263,https://www.inaturalist.org/observations/68342383,47067,68342383,José Gabriel Julio Guzmán,iNaturalist,14:08:11Z,José Gabriel Julio Guzmán,151284919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
